,ncessch,county_code,y,x,enrollment,TAZ
1188,63255008691,13,37.99937,-122.2529,980.0,894
1189,63255008692,13,37.99002,-122.33239099999999,135.0,974
1190,63255009184,13,37.95207,-122.35293100000001,607.0,977
1191,63255009622,13,37.972097999999995,-122.33941399999999,278.0,976
1192,63255010022,13,37.97139,-122.32700000000001,484.0,976
1193,63255010198,13,37.968588000000004,-122.324797,273.0,860
1194,63255010757,13,37.99937,-122.2529,632.0,894
1195,63255011225,13,37.934055,-122.361151,511.0,864
1196,63255011226,13,37.933653,-122.33756699999999,529.0,865
1197,63255011576,13,37.929175,-122.35940900000001,444.0,985
1198,63255013164,13,37.93665,-122.33776100000001,231.0,863
1199,63255013753,13,37.94498,-122.32096100000001,405.0,861
1200,63255013890,13,37.978215999999996,-122.327027,232.0,974
1201,63255013891,13,37.978215999999996,-122.327027,251.0,974
1202,63255013892,13,37.928694,-122.35804399999999,125.0,985
1203,63264005077,97,38.474184,-122.66326399999998,418.0,272
1204,63264005078,97,38.468468,-122.674131,418.0,432
1205,63264005079,97,38.437469,-122.670721,599.0,268
1206,63264005080,97,38.465575,-122.6625,447.0,300
1207,63264005081,97,38.470240000000004,-122.652367,439.0,273
1208,63264005083,97,38.445407,-122.674958,411.0,413
1209,63264008646,97,38.464971000000006,-122.638034,420.0,273
1210,63264011481,97,38.470240000000004,-122.652367,293.0,273
1211,63264012471,97,38.444244,-122.675205,117.0,413
1212,63311005125,95,38.154969,-121.69845900000001,381.0,200
1213,63311005126,95,38.151990000000005,-121.6946,284.0,200
1214,63311005128,95,38.165195000000004,-121.69426299999999,372.0,200
1215,63311009429,95,38.165468,-121.69271200000001,11.0,200
1216,63351005176,97,38.428292,-122.730303,678.0,305
1217,63351005177,97,38.419691,-122.729247,488.0,305
1218,63351011178,97,38.430611,-122.721617,1220.0,305
1219,63351013038,97,38.42215,-122.735431,418.0,305
1220,63366005192,41,37.961293,-122.55808200000001,384.0,1001
1221,63423005393,81,37.624371000000004,-122.415655,360.0,1168
1222,63423005394,81,37.62508,-122.4062,315.0,1169
1223,63423005396,81,37.614957000000004,-122.413055,228.0,1197
1224,63423005397,81,37.613793,-122.43633799999999,344.0,1167
1225,63423005398,81,37.615803,-122.418683,846.0,1197
1226,63423005399,81,37.631349,-122.44474199999999,279.0,1196
1227,63423008626,81,37.62328,-122.4521,344.0,1195
1228,63429004029,81,37.508877000000005,-122.28605300000001,362.0,1279
1229,63429005400,81,37.503861,-122.27507800000001,527.0,1279
1230,63429005401,81,37.496199,-122.26567,417.0,1278
1231,63429005402,81,37.500565,-122.261039,704.0,1277
1232,63429005403,81,37.492387,-122.274473,432.0,1310
1233,63429005405,81,37.491273,-122.25356200000002,385.0,1309
1234,63429008627,81,37.508877000000005,-122.28605300000001,693.0,1279
1235,63441001276,75,37.745078,-122.44949,614.0,1067
1236,63441002774,75,37.735952000000005,-122.399651,201.0,1073
1237,63441003976,75,37.736031,-122.40170400000001,444.0,1073
1238,63441003982,75,37.77983,-122.435891,414.0,1112
1239,63441005360,75,37.759183,-122.46975900000001,587.0,1151
1240,63441005369,75,37.798895,-122.402629,275.0,951
1241,63441005580,75,37.75083,-122.496799,1214.0,1222
1242,63441005581,75,37.746359999999996,-122.48093999999999,2046.0,1049
1243,63441005582,75,37.782728000000006,-122.482279,535.0,1224
1244,63441005583,75,37.75374,-122.438502,508.0,1064
1245,63441005585,75,37.729621,-122.465876,1000.0,1097
1246,63441005586,75,37.7753,-122.47636200000001,430.0,1237
1247,63441005587,75,37.721041,-122.441077,1260.0,1086
1248,63441005590,75,37.777035999999995,-122.40598100000001,612.0,346
1249,63441005591,75,37.718002,-122.389046,178.0,1077
1250,63441005592,75,37.75168,-122.40485100000001,216.0,1072
1251,63441005596,75,37.79493,-122.4041,77.0,956
1252,63441005597,75,37.720264,-122.429,362.0,1085
1253,63441005598,75,37.73125,-122.470665,395.0,1097
1254,63441005599,75,37.794406,-122.408841,664.0,1023
1255,63441005600,75,37.760371,-122.395835,273.0,1069
1256,63441005601,75,37.759063,-122.436259,238.0,1122
1257,63441005602,75,37.754822,-122.420383,167.0,1124
1258,63441005604,75,37.727378,-122.407348,671.0,1083
1259,63441005605,75,37.718613,-122.407319,236.0,1242
1260,63441005607,75,37.74049,-122.42517,380.0,1128
1261,63441005609,75,37.758176,-122.50205,531.0,1103
1262,63441005610,75,37.804959999999994,-122.4116,572.0,949
1263,63441005611,75,37.776336,-122.46449799999999,218.0,1226
1264,63441005612,75,37.803893,-122.42363999999999,1890.0,1018
1265,63441005613,75,37.802226,-122.40683999999999,223.0,1019
1266,63441005614,75,37.783894000000004,-122.465049,276.0,1234
1267,63441005615,75,37.756696999999996,-122.41263400000001,380.0,1071
1268,63441005616,75,37.732007,-122.38583200000001,220.0,1075
1269,63441005617,75,37.77771,-122.49106200000001,2054.0,1239
1270,63441005618,75,37.733218,-122.43566200000001,344.0,1098
1271,63441005620,75,37.763496,-122.45051299999999,395.0,1057
1272,63441005621,75,37.710215999999996,-122.434063,451.0,1146
1273,63441005623,75,37.754946999999994,-122.414934,429.0,1071
1274,63441005624,75,37.745395,-122.46904599999999,977.0,1094
1275,63441005625,75,37.728840000000005,-122.4191,462.0,1082
1276,63441005626,75,37.753199,-122.42023,588.0,1124
1277,63441005628,75,37.7216,-122.4428,716.0,1086
1278,63441005629,75,37.749387,-122.432823,599.0,1065
1279,63441005630,75,37.797684999999994,-122.41105800000001,267.0,1020
1280,63441005631,75,37.763036,-122.47658500000001,511.0,1150
1281,63441005633,75,37.773795,-122.42873300000001,265.0,1117
1282,63441005635,75,37.716325,-122.46668400000001,393.0,1099
1283,63441005636,75,37.736936,-122.421449,290.0,1139
1284,63441005637,75,37.777161,-122.496909,543.0,1239
1285,63441005638,75,37.730151,-122.48598500000001,487.0,1219
